trajectory_id,pair_id,direction,theta_boundary,phase_coordinate_1,phase_coordinate_2
traj_8fdd720228f95cd00089,pair_8fdd720228f95cd00089,fast,2.255860914925125,-53.19656143638878,60.112410896694655
traj_9010c3088d633ca99d25,pair_9010c3088d633ca99d25,fast,4.82131929832872,-23.971304507863266,-95.19421291393778
traj_90237f529b6cebb6de89,pair_90237f529b6cebb6de89,fast,2.7268882918143005,-60.564919801718965,48.73352851909088
traj_91038d1217db3052bcf1,pair_91038d1217db3052bcf1,fast,0.7149064045531786,61.307615173190385,61.09602362175342
traj_92958457107e7b98d871,pair_92958457107e7b98d871,fast,2.49135542324068,-68.04054642099933,62.77431680406703
traj_97f5dc19cd33b4b9d6ab,pair_97f5dc19cd33b4b9d6ab,fast,2.496621990834515,-65.78130684103165,65.85944523432508
traj_9a6cd94f930ae9b2412a,pair_9a6cd94f930ae9b2412a,fast,0.7957144171846081,64.6507384675145,61.94320355896398
traj_9b3acabe03347f42ec03,pair_9b3acabe03347f42ec03,fast,5.983447279795086,81.71476369254361,-6.5793065054355
traj_9be539bd255a4c1f011d,pair_9be539bd255a4c1f011d,fast,1.9689132066501422,-36.10854074712085,54.92907836193887
traj_9c4cd5456cd4e5887f32,pair_9c4cd5456cd4e5887f32,fast,2.091280120840241,-45.83324074677827,56.94634181071409
traj_9c9b9ed9c3dcfbc5fce6,pair_9c9b9ed9c3dcfbc5fce6,fast,4.659049176145028,-35.939093131056346,-88.46529148873502
traj_a019ab8ca5fae8935f44,pair_a019ab8ca5fae8935f44,fast,4.966029630821143,-5.4618759941260855,-97.50015954441865
traj_a0f840cbfe29cb0f40d1,pair_a0f840cbfe29cb0f40d1,fast,1.9598168924508876,-30.56942703157761,53.0384007327079
traj_a2cba0980d0878a34d2a,pair_a2cba0980d0878a34d2a,fast,4.613765226318427,-35.89755530179226,-84.39105110909018
traj_a40283f911aa3c5b512f,pair_a40283f911aa3c5b512f,fast,0.028311458164682776,51.2623745684526,38.899611098263065
traj_a4211c44df35f4eff61f,pair_a4211c44df35f4eff61f,fast,5.088559924764421,13.478612816324965,-93.3925481925155
traj_a49c1b3c81783e1e34a2,pair_a49c1b3c81783e1e34a2,fast,5.662288987479378,73.59418524560748,-48.502089955234155
traj_a4afb9c929a02bc31007,pair_a4afb9c929a02bc31007,fast,2.0619647200385947,-33.40467004238923,53.44921981093794
traj_a58fa2e8554beb9e5d9d,pair_a58fa2e8554beb9e5d9d,fast,5.78817627602515,80.92810519857633,-43.80956766793858
traj_a5b8ba03384289328049,pair_a5b8ba03384289328049,fast,2.184552027668242,-54.673905600661136,60.753641887546976
traj_a63ae50e2551891f8a13,pair_a63ae50e2551891f8a13,fast,0.6924256942706527,46.83027429031672,43.2221768933522
traj_a90b067f0fe75ac30ffb,pair_a90b067f0fe75ac30ffb,fast,0.47441872539372837,56.360786964200095,57.41438551370295
traj_aa6fb9abaee6cba7a0ca,pair_aa6fb9abaee6cba7a0ca,fast,1.1775872453037863,51.62161219221715,52.10167602828384
traj_aae1a1d55a6b15ccbe12,pair_aae1a1d55a6b15ccbe12,fast,6.224955884276688,79.0874254835279,-4.4314908723197295
traj_ac80eedd7b9029d3d042,pair_ac80eedd7b9029d3d042,fast,0.6986914782056239,65.47725953128518,60.69275343433906
traj_ad4490dffb349806b439,pair_ad4490dffb349806b439,fast,5.313519604665816,42.036879285093406,-74.63804316961907
traj_b1b805e568427b8b596c,pair_b1b805e568427b8b596c,fast,2.717181967581733,-65.52365777238555,60.353485959042615
traj_b1c5e202df6f2b283fa0,pair_b1c5e202df6f2b283fa0,fast,5.914450181429788,86.64158533989787,-22.787641522087657
traj_b27803620e59f43d3feb,pair_b27803620e59f43d3feb,fast,5.418500118202732,44.9588973872571,-74.3145747408564
traj_b310042dc53da5331868,pair_b310042dc53da5331868,fast,2.167187006292699,-50.50030867146539,59.17089005746325
traj_b57f78cecaa8960416de,pair_b57f78cecaa8960416de,fast,4.786031084322686,-21.305918656766494,-95.95423466295172
traj_b7126b9ce745ccf71985,pair_b7126b9ce745ccf71985,fast,1.3153523832406784,40.398458726629926,49.96958118163875
traj_b807d61bb3768a16886a,pair_b807d61bb3768a16886a,fast,4.622068275955761,-39.156869188047345,-86.60257530009576
traj_b83701d5a0618172bdf7,pair_b83701d5a0618172bdf7,fast,2.309009990926167,-62.26738845150456,63.347644037274364
traj_b8b8a21a940cbee2a4c9,pair_b8b8a21a940cbee2a4c9,fast,5.153006969938043,14.909850676820682,-91.78261686313277
traj_b8d7fbe8787c01eb5430,pair_b8d7fbe8787c01eb5430,fast,1.1769878619641354,55.372022292023445,53.990935351489725
traj_b91489416b8c9c3b42bb,pair_b91489416b8c9c3b42bb,fast,4.282923585851569,-51.75939316733043,-62.76324316087321
traj_ba1cd7127c99582333e2,pair_ba1cd7127c99582333e2,fast,5.744157590224137,82.4851782081225,-42.53273871846506
traj_bcb206706b321f4cc1da,pair_bcb206706b321f4cc1da,fast,3.8126940683848423,-44.45091018266839,-50.149123594324465
traj_bf78e225423e2610b890,pair_bf78e225423e2610b890,fast,5.000106117200665,-3.188360857986699,-96.63120154841562
traj_c19b892befcee4783837,pair_c19b892befcee4783837,fast,4.785210063466425,-21.037608519394475,-95.4724024755737
traj_c68663681e6ab9851166,pair_c68663681e6ab9851166,fast,5.332571499577436,38.618588575183054,-78.33411292813373
traj_c83fad68f4e16a1c3b16,pair_c83fad68f4e16a1c3b16,fast,0.08363871559477258,65.11792173527272,26.66498595798497
traj_c86a11881754cd68b69e,pair_c86a11881754cd68b69e,fast,5.624789504539243,62.140201021590585,-61.469926034220954
traj_ca457c059e72fcd3087a,pair_ca457c059e72fcd3087a,fast,5.538308702286993,69.51800055639562,-52.47351505284415
traj_ca7517b74f00e7b9df95,pair_ca7517b74f00e7b9df95,fast,0.7153969414969864,61.474935286177214,54.07748871409451
traj_cca49431a2c1eebfe0a0,pair_cca49431a2c1eebfe0a0,fast,2.6424851713089152,-62.568502893627766,54.9048505601967
traj_cd3a58dc8b6718aad885,pair_cd3a58dc8b6718aad885,fast,5.341253530837448,35.91741538369251,-81.25534877420196
traj_cdf348d52d2252cf7530,pair_cdf348d52d2252cf7530,fast,6.140347044141552,74.61015149110902,12.291721711678761
traj_ceed80e84f115770dab2,pair_ceed80e84f115770dab2,fast,5.504530668704798,52.75788240730794,-67.59395347210366
traj_d2d403f18c584c1f0440,pair_d2d403f18c584c1f0440,fast,1.4949403928504623,29.781822933021516,47.65121298839526
traj_d58b5e95090127c99a3e,pair_d58b5e95090127c99a3e,fast,4.571468851355305,-40.47021421585028,-85.9691310188214
traj_d5e36bb8a62baf09a2ea,pair_d5e36bb8a62baf09a2ea,fast,2.850106676264729,-55.921245063643816,33.61681510933016
traj_d69cbfd9c2306f7cdb23,pair_d69cbfd9c2306f7cdb23,fast,4.753862034365446,-27.994062548846653,-93.89978354155794
traj_d937435ba2cca64785c0,pair_d937435ba2cca64785c0,fast,4.4265362556008325,-53.026181469370165,-50.14277939090584
traj_dabe29665155351b67f1,pair_dabe29665155351b67f1,fast,2.170595349097858,-46.368364790572045,58.177570811200354
traj_db5215244598b633a914,pair_db5215244598b633a914,fast,2.219300061739296,-48.59190880762293,58.57386704636326
traj_dc61ec0e0e591913e65e,pair_dc61ec0e0e591913e65e,fast,0.6692424796492765,56.511255013263714,48.95498547382282
traj_dd83802f413d60e846fb,pair_dd83802f413d60e846fb,fast,4.928051149641301,-9.628743870137985,-96.24069130010903
traj_decc45064fa339a5ea05,pair_decc45064fa339a5ea05,fast,2.178030498154782,-52.52852840036796,60.47903464054555
traj_e320aa5000eb7fe7139d,pair_e320aa5000eb7fe7139d,fast,4.634365529533247,-39.27660876490201,-81.79931055382727
traj_e4fe1c8554fd34b1318f,pair_e4fe1c8554fd34b1318f,fast,5.143569036114417,15.121795183951708,-92.13586883131691
traj_e870c7cb099e78fdb2ed,pair_e870c7cb099e78fdb2ed,fast,1.3142945175120844,46.36787703846836,46.56754165663996
traj_e9c977e04a9e055a2b42,pair_e9c977e04a9e055a2b42,fast,5.736151576566171,78.42606308014287,-52.42634250404699
traj_8a1e8c364bd7fe686396,pair_8a1e8c364bd7fe686396,slow,4.790818389377463,-35.406557539361565,-59.24545312285154
traj_8dd0198ab1885ef9005a,pair_8dd0198ab1885ef9005a,slow,1.7103980963105527,22.71760497455729,69.49509555824706
traj_8e03f4a708ccdb7f773a,pair_8e03f4a708ccdb7f773a,slow,1.5485424946605089,57.74021262936609,47.35107387437754
traj_8f43bf52e4e8014019a1,pair_8f43bf52e4e8014019a1,slow,5.124485267252707,14.25221852443198,-71.95996965602663
traj_929ae9f9438464fff528,pair_929ae9f9438464fff528,slow,4.843618119776242,-28.096293406741868,-61.381438980570834
traj_964c3876ec0107fb0006,pair_964c3876ec0107fb0006,slow,1.8571731868056172,0.8146371515687703,80.4603140706131
traj_9688e7b095ebf03fd852,pair_9688e7b095ebf03fd852,slow,2.033805319675188,-29.396562026615467,67.52019631327393
traj_971aef4783de1a29a5cc,pair_971aef4783de1a29a5cc,slow,1.9103737566033696,4.386047666189915,87.02957746814383
traj_9f60f1abc32890a22673,pair_9f60f1abc32890a22673,slow,2.2188504183984037,-49.14049243909604,46.9964075979526
traj_9f61761a25041bd83174,pair_9f61761a25041bd83174,slow,2.0071484176048937,-26.51921663681196,76.19568569097919
traj_a0562edce1dc95e34d07,pair_a0562edce1dc95e34d07,slow,5.45677121408149,52.11387650183166,-44.8064184147853
traj_a05f4e0186d38d76cb77,pair_a05f4e0186d38d76cb77,slow,2.139885526157616,-39.907198691544195,58.61377276923867
traj_a22bccdab515e6021ac0,pair_a22bccdab515e6021ac0,slow,5.139629869363368,23.051499709754793,-69.52481880288197
traj_a31438d4b19c8bff1f5d,pair_a31438d4b19c8bff1f5d,slow,1.4901073196406123,66.67473685588126,33.52038217310874
traj_a38d4db54b7a1b4fe728,pair_a38d4db54b7a1b4fe728,slow,2.3459668511319296,-52.23871441243518,35.44729931497693
traj_a3cd8bb617e50c25c1d2,pair_a3cd8bb617e50c25c1d2,slow,4.876843454574301,-27.847512286891632,-70.35276265731036
traj_a4274e000938a417fb0a,pair_a4274e000938a417fb0a,slow,1.7791179872778995,10.772286685303182,78.34838943811238
traj_a754620da3fb8375f857,pair_a754620da3fb8375f857,slow,4.6642798411791535,-52.21894366590393,-42.836511019391736
traj_a79d94d5c2bddfbb2fe2,pair_a79d94d5c2bddfbb2fe2,slow,2.151339136452581,-49.18988677998811,45.61168403920319
traj_a9a7c9e1a49e1e6e9ed6,pair_a9a7c9e1a49e1e6e9ed6,slow,5.242756893191494,16.875777321875816,-59.729716190861865
traj_aa58a625955fb6037ae4,pair_aa58a625955fb6037ae4,slow,4.879587115190942,-28.2042096028743,-61.93058229307598
traj_ac11de306606eac5fbcd,pair_ac11de306606eac5fbcd,slow,2.995170199958322,-45.61288886329734,-23.40085510894093
traj_ac56b70f33bee0d02bef,pair_ac56b70f33bee0d02bef,slow,2.9243078728305014,-51.28872945410655,-23.83387166008828
traj_acf4860c9e076644b899,pair_acf4860c9e076644b899,slow,2.4401151414636177,-58.19326174347959,20.32363806647361
traj_af196612ee42897cf752,pair_af196612ee42897cf752,slow,2.2606219905205687,-51.17637575030672,40.62582170206117
traj_afcbfe8c34199b2d6ecd,pair_afcbfe8c34199b2d6ecd,slow,4.652018168352944,-54.99568572813176,-42.97877421666061
traj_b0e2f5a0ea7819ca66fc,pair_b0e2f5a0ea7819ca66fc,slow,2.2254872389082876,-55.64091881793902,29.570619558139605
traj_b3ceb355a5c2077c6622,pair_b3ceb355a5c2077c6622,slow,5.351150982757209,48.94361709697935,-52.91635994939828
traj_b6e4621dc70a41b00871,pair_b6e4621dc70a41b00871,slow,2.2613228559640457,-54.63359511950595,32.36085304084325
traj_b82dee451b00ee058ced,pair_b82dee451b00ee058ced,slow,1.2563662024111133,85.0233286713994,16.32020596242727
traj_b953deda1501e9d6dd8b,pair_b953deda1501e9d6dd8b,slow,5.754953644740991,77.18456130764183,15.297201399334934
traj_b988e6c2f6cdd72aaff0,pair_b988e6c2f6cdd72aaff0,slow,2.6028561852712087,-60.2312656213351,2.408335782374904
traj_ba98739d477277709996,pair_ba98739d477277709996,slow,5.324667053436315,36.8638849324998,-37.825630047783655
traj_c035264c32767429fb93,pair_c035264c32767429fb93,slow,5.990133995234297,85.42606883135096,24.617869783418996
traj_c3b66d7b6c58b32155b2,pair_c3b66d7b6c58b32155b2,slow,4.985246713145823,-11.529667367747278,-74.73560862724577
traj_c3f29c5309bf2077f927,pair_c3f29c5309bf2077f927,slow,4.857025785246066,-29.834119181437966,-64.0039915279227
traj_c4cafb6800a98249a663,pair_c4cafb6800a98249a663,slow,1.6597935828138328,44.26311169651331,58.509516655030474
traj_c926effcebacfb90ad6a,pair_c926effcebacfb90ad6a,slow,1.9784538603615522,-18.657665854132546,71.47227843420528
traj_ca6e030fa530494d564c,pair_ca6e030fa530494d564c,slow,2.1418404975898446,-32.48940910036621,59.59737640746467
traj_cc7e32e196c51e692baa,pair_cc7e32e196c51e692baa,slow,2.295043539575427,-48.7559917816152,37.30297745933104
traj_d069043ad22b8425500a,pair_d069043ad22b8425500a,slow,5.4656035123405555,55.738708337615215,-27.311005112489465
traj_d1bafde093451a6b4175,pair_d1bafde093451a6b4175,slow,0.6147005855119025,55.32726284342213,10.575993854821482
traj_d22a9500e9f2c37bc356,pair_d22a9500e9f2c37bc356,slow,1.91171048464621,-3.089616348564761,88.33889605937857
traj_d2a0bcc20698c37c4c2a,pair_d2a0bcc20698c37c4c2a,slow,2.254440185749757,-55.82682490916338,27.568510726561296
traj_d37393e1927adc584440,pair_d37393e1927adc584440,slow,2.0915877660808864,-42.21497523405819,54.977086882261474
traj_e00496683049f1e6739e,pair_e00496683049f1e6739e,slow,1.8521464322595835,4.245988447831161,79.13333250570375
traj_e1111f0306b99c070c3f,pair_e1111f0306b99c070c3f,slow,4.954675292412691,-18.78442273818712,-71.7557576503107
traj_e126f7ac86ab61568855,pair_e126f7ac86ab61568855,slow,0.08882730266369473,97.7383749630927,22.691651720385927
traj_e56fb53e25c41d2f6f49,pair_e56fb53e25c41d2f6f49,slow,2.268688621202848,-45.48410789921529,46.05921289131043
traj_e7fad7b6aacca7dfc8e2,pair_e7fad7b6aacca7dfc8e2,slow,1.2095793560545185,84.36196221632838,12.733277849097133
traj_e8168c2586e1ff764c2f,pair_e8168c2586e1ff764c2f,slow,5.241566826538797,37.42060259372195,-46.32109536236762
traj_eb01fe791cdb5e376980,pair_eb01fe791cdb5e376980,slow,1.5893440444200073,52.743508283779335,50.43360455187118
traj_eb684c261427b9cfac32,pair_eb684c261427b9cfac32,slow,1.9503051301406766,-14.18234219521605,77.3438092818953
traj_f116bddc6fbc3d243e7f,pair_f116bddc6fbc3d243e7f,slow,2.345408952435894,-57.76193475528808,20.096801625275447
traj_f1c835f3163687e5b76a,pair_f1c835f3163687e5b76a,slow,5.42044418093468,56.25490978972962,-31.44934171536838
traj_f35826b4f5b9c69acf02,pair_f35826b4f5b9c69acf02,slow,4.847265054140227,-33.474728500630775,-65.32736481068778
traj_f69873d24135da1f2a3a,pair_f69873d24135da1f2a3a,slow,5.108287381397492,10.478946860310966,-57.427776280670145
traj_f945a49efe68fffd6b22,pair_f945a49efe68fffd6b22,slow,5.245809900653489,33.97611797504036,-54.15665353107771
traj_faae1e53c43d6ed51024,pair_faae1e53c43d6ed51024,slow,5.391120283429666,32.32890160382692,-45.43841298139413
traj_fb5f0c2d3fb706311a97,pair_fb5f0c2d3fb706311a97,slow,4.86858361993052,-28.67804075470371,-69.67477718469175
traj_fb85f31e48160d0f32bb,pair_fb85f31e48160d0f32bb,slow,4.997167319107117,-9.517014852024692,-80.05837167514764
traj_fc07c552b1a6c9d493c6,pair_fc07c552b1a6c9d493c6,slow,4.980815372530341,-15.289434465366408,-72.46772092491081
traj_fccf11a637bda59ce0f2,pair_fccf11a637bda59ce0f2,slow,5.185058228258942,25.859367414156214,-61.552320625534456
traj_ff8f4a0664fc3bf6a96a,pair_ff8f4a0664fc3bf6a96a,slow,5.432257339887165,49.86184152605999,-35.73042192038465
